id,"phrase",exception,"created_at","updated_at",regex
105,"for the purpose of preserving or restoring",1,"2014-06-12 18:31:13","2014-06-12 18:31:13",0
106,"for study",1,"2014-06-12 18:31:17","2014-06-12 18:31:17",0
107,"certain interagency",1,"2014-06-12 18:31:20","2014-06-12 18:31:20",0
108,"for relief of the State",1,"2014-06-12 18:31:22","2014-06-12 18:31:22",0
109,"federal taxation",1,"2014-06-12 18:31:25","2014-06-12 18:31:25",0
110,"certain lands",1,"2014-06-12 18:31:29","2014-06-12 18:31:29",0
111,"Federal Reserve System",1,"2014-06-12 18:31:30","2014-06-12 18:31:30",0
112,"Federal Reserve Bank",1,"2014-06-12 18:31:34","2014-06-12 18:31:34",0
113,"certain private aircraft",1,"2014-06-12 18:31:36","2014-06-12 18:31:36",0
114,"Federal Deposit Insurance Corporation",1,"2014-06-12 18:31:39","2014-06-12 18:31:39",0
115,"expand",1,"2014-06-12 18:31:43","2014-06-12 18:31:43",0
116,"certain provisions of",1,"2014-06-12 18:31:43","2014-06-12 18:31:43",0
117,"certain purposes",1,"2014-06-12 18:31:52","2014-06-12 18:31:52",0
118,"establishment of a monument",1,"2014-06-12 18:31:55","2014-06-12 18:31:55",0
119,"establishment of a memorial",1,"2014-06-12 18:32:00","2014-06-12 18:32:00",0
120,"establishment of a commission",1,"2014-06-12 18:32:04","2014-06-12 18:32:04",0
121,"establishing a monument",1,"2014-06-12 18:32:10","2014-06-12 18:32:10",0
122,"establishing a memorial",1,"2014-06-12 18:32:16","2014-06-12 18:32:16",0
123,"establishing a commission",1,"2014-06-12 18:32:21","2014-06-12 18:32:21",0
124,"certain river segments",1,"2014-06-12 18:32:23","2014-06-12 18:32:23",0
125,"erection of a monument",1,"2014-06-12 18:32:28","2014-06-12 18:32:28",0
126,"erection of a memorial",1,"2014-06-12 18:32:32","2014-06-12 18:32:32",0
127,"certain segments",1,"2014-06-12 18:32:32","2014-06-12 18:32:32",0
128,"enlarge",1,"2014-06-12 18:32:37","2014-06-12 18:32:37",0
129,"change permanently the business",1,"2014-06-12 18:32:40","2014-06-12 18:32:40",0
130,"election day",1,"2014-06-12 18:32:44","2014-06-12 18:32:44",0
131,"construction of a memorial",1,"2014-06-12 18:32:46","2014-06-12 18:32:46",0
132,"designating a site",1,"2014-06-12 18:32:56","2014-06-12 18:32:56",0
133,"construction of a monument",1,"2014-06-12 18:32:58","2014-06-12 18:32:58",0
134,"corporate income",1,"2014-06-12 18:33:02","2014-06-12 18:33:02",0
135,"cooperative agreement",1,"2014-06-12 18:33:10","2014-06-12 18:33:10",0
136,"Health Care Equity",1,"2014-06-20 13:27:21","2014-06-20 13:27:21",0
137,"Gold Content",1,"2014-06-20 13:27:28","2014-06-20 13:27:28",0
138,"Stipend Increase",1,"2014-06-20 13:27:35","2014-06-20 13:27:35",0
139,"foreign terrorist organization",1,"2014-06-20 13:27:46","2014-06-20 13:27:46",0
140,"tax exemption",1,"2014-06-20 13:27:51","2014-06-20 13:27:51",0
141,"Flat Tops Wilderness, Routt and White River National Forests",1,"2014-06-20 13:27:51","2014-06-20 13:27:51",0
142,"Eagles Nest Wilderness, Arapaho, and White River National Forests",1,"2014-06-20 13:27:51","2014-06-20 13:27:51",0
143,"innocent victims of the occupation of Wounded Knee, South Dakota",1,"2014-06-20 13:27:51","2014-06-20 13:27:51",0
144,priority highway projects,1,"2014-06-20 13:27:51","2014-06-20 13:27:51",0
145,High Intensity Drug Trafficking Areas,1,"2014-06-20 13:27:51","2014-06-20 13:27:51",0
146,United States Anti-Doping Agency,1,"2014-06-20 13:27:51","2014-06-20 13:27:51",0
